,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels
14,2021-04-08,3235.093344311756,3299.3994811252924,3231.1855581507502,3281.93798828125,2578118,0.0,0,3228.168274471689,3117.3638470304304,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3299.3994811252924,0.0,3299.3994811252924
15,2021-04-09,3318.196719620081,3318.5430800537465,3272.6877604362635,3286.78564453125,2911129,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3272.6877604362635,346.61000304261324,3318.5430800537465
16,2021-04-12,3286.78566868496,3302.466569828408,3178.899706563604,3211.893798828125,3791828,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3178.899706563604,346.61000304261324,3302.466569828408
17,2021-04-13,3179.691300168654,3179.691300168654,3040.245956826897,3070.9150390625,8654596,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3040.245956826897,346.61000304261324,3179.691300168654
18,2021-04-15,3126.56455117948,3202.693078797669,3054.492112055716,3184.58837890625,6062760,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3054.492112055716,346.61000304261324,3202.693078797669
19,2021-04-16,3194.5309901160927,3212.3388432663214,3148.626398609289,3161.042236328125,3224657,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3148.626398609289,346.61000304261324,3212.3388432663214
20,2021-04-19,3135.171677386909,3154.958182135328,3101.6336484521325,3128.048583984375,2679106,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3101.6336484521325,346.61000304261324,3154.958182135328
21,2021-04-20,3190.573581198312,3190.9199416116044,3092.9767526073774,3110.982421875,3141893,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3092.9767526073774,346.61000304261324,3190.9199416116044
22,2021-04-22,3114.395816700399,3114.395816700399,3072.1021632175707,3085.507568359375,1988980,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3072.1021632175707,346.61000304261324,3114.395816700399
23,2021-04-23,3071.8546773245293,3085.705229814881,3058.0536393999646,3076.306640625,1615309,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3058.0536393999646,346.61000304261324,3085.705229814881
24,2021-04-26,3068.936363562921,3119.3424354869358,3055.085810408206,3067.69970703125,2490260,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3055.085810408206,346.61000304261324,3119.3424354869358
25,2021-04-27,3072.843952047413,3102.6227360265007,3069.8759765624995,3098.56640625,1471417,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3069.8759765624995,346.61000304261324,3102.6227360265007
26,2021-04-28,3116.324888249054,3117.3637280235544,3078.7800449410665,3090.7509765625,1639037,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3078.7800449410665,346.61000304261324,3117.3637280235544
27,2021-04-29,3112.0212315547988,3123.64580185476,3072.3491971513627,3081.9951171875,1621395,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,3072.3491971513627,346.61000304261324,3123.64580185476
28,2021-04-30,3065.918719542237,3098.615964906526,2987.762030660715,3003.244873046875,3072305,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,2987.762030660715,346.61000304261324,3098.615964906526
29,2021-05-03,2992.609878303308,3022.388665202734,2971.9330770111333,3004.580810546875,1545831,0.0,0,3318.5430800537465,2971.9330770111333,-1,3318.5430800537465,2971.9330770111333,3318.5430800537465,3186.138058891468,3145.23807853244,3104.3380981734117,3046.1076176622523,2971.9330770111333,2878.3483761896277,2757.7280951307985,2411.118092088185,2971.9330770111333,346.61000304261324,3022.388665202734
