Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels,NewFibLevel,RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2021-03-17,117.5847338173342,117.92188919974762,113.79167788774276,114.38170623779295,8175296,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.79167788774276,0.0,117.92188919974762,116.99470129910024,0.0,-1.2284880694815805,,,,114.38170623779295,,,,
2021-03-18,115.43532877227388,116.99470129910024,109.87218799073052,111.26296997070312,14668468,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.87218799073052,0.0,116.99470129910024,111.84620676158742,0.0,-1.2284880694815805,,,,114.09818475896661,,,,
2021-03-19,110.36569003827177,111.84620676158742,107.18033608343256,110.8143310546875,26315676,8.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.18033608343256,0.0,111.84620676158742,111.66674536931484,0.0,-1.2284880694815805,,,,113.79965260403215,,,,
2021-03-22,110.81433018311678,111.66674536931484,108.61599195825735,108.9748992919922,5071374,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.61599195825735,0.0,111.66674536931484,110.0965025055296,0.0,-1.2284880694815805,,,,113.36103866657398,,,,
2021-03-23,109.01976680622472,110.0965025055296,105.87927969658038,108.21221160888672,11934744,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.87927969658038,0.0,110.0965025055296,108.48141524973218,0.0,-1.2284880694815805,,,,112.8929634795115,,,,
2021-03-24,107.1803520014662,108.48141524973218,104.53337234978106,104.84741973876952,8767220,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.53337234978106,0.0,108.48141524973218,105.07172334214984,0.0,-1.2284880694815805,,,,112.16155041217131,,,,
2021-03-25,104.48848865906642,105.07172334214984,101.12368107864498,101.93123626708984,8488100,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.12368107864498,0.0,105.07172334214984,104.66794404285372,0.0,-1.2284880694815805,,,,111.23152185352752,,,,
2021-03-26,102.29014543337291,104.66794404285372,102.06582493900147,102.78365325927734,9417088,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.06582493900147,0.0,104.66794404285372,104.44363164524611,0.0,-1.2284880694815805,,,,110.46353379950477,,,,
2021-03-30,104.44363164524611,104.44363164524611,98.88047884613243,99.6880340576172,12662101,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88047884613243,0.0,104.44363164524611,103.05285064273586,0.0,-1.2284880694815805,105.83972425144535,,,109.48394291387862,,,,
2021-03-31,100.04695689442394,103.05285064273586,99.77776951875212,102.06584167480467,6736768,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77776951875212,0.0,103.05285064273586,103.00798493885702,0.0,-1.2284880694815805,105.08494773611721,,,108.8095700739628,,,,
2021-04-01,102.82852441644208,103.00798493885702,101.79664866114275,102.6490707397461,4394808,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.79664866114275,0.0,103.00798493885702,102.6041943393098,0.0,-1.2284880694815805,104.59777233684301,,,108.2495246799431,,,,
2021-04-05,102.2901470114884,102.6041943393098,98.43183171048702,100.0020751953125,10498788,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.43183171048702,0.0,102.6041943393098,103.86039080181234,0.0,-1.2284880694815805,103.67863290853691,,,107.49975654497666,,,,
2021-04-06,100.36098965619291,103.86039080181234,99.6431681684494,102.60419464111328,10028307,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6431681684494,0.0,103.86039080181234,105.11659970401789,0.0,-1.2284880694815805,103.46374525505219,,,107.05470546280726,,,,
2021-04-07,102.5593470803799,105.11659970401789,102.29015971127308,104.57823181152344,6608224,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.29015971127308,0.0,105.11659970401789,106.73169678601327,0.0,-1.2284880694815805,103.68664256634644,,,106.82957149450873,,105.34256253923688,114.50982595218785,96.1752991262859
2021-04-08,104.80254586093004,106.73169678601327,102.96311492571262,103.32202911376952,8471455,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,102.96311492571262,24.514828495409148,106.73169678601327,104.80254344050388,30.136287648332356,-0.11257847371155538,103.61371987583107,,,106.5107040053506,,104.55258560180664,112.13323671499815,96.97193448861513
2021-04-09,103.36688672143288,104.80254344050388,101.57232266831274,102.20042419433594,5422387,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,101.57232266831274,24.514828495409148,104.80254344050388,100.4955903192124,28.88309930360242,-0.15898249385863125,103.33106073953205,,,106.11886038616746,,103.90526090349469,110.50135244837925,97.30916935861013
2021-04-12,100.4955903192124,100.4955903192124,93.40706070433848,93.99029541015624,12912590,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,93.40706070433848,24.514828495409148,100.4955903192124,98.97021264066596,21.75244451785268,-0.4230218537292194,101.46290767365689,,,105.01626357016643,,102.70354407174247,109.97320580317174,95.4338823403132
2021-04-13,95.4708112840401,98.97021264066596,94.2594818882862,98.65615844726562,6332151,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,94.2594818882862,24.514828495409148,98.97021264066596,100.13667734515856,32.023418697144336,-0.04270033641678569,100.90155782837864,,,104.43807219535725,,101.966491154262,108.5579055359444,95.3750767725796
