Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels,NewFibLevel,RSI,stockRSI,macd_strength,macd,macd_h,ema,CI,Bollinger_centralBand,Bollinger_upperBand,Bollinger_lowerband
2021-03-17,214.05767511775667,214.82577018701176,204.9845896533051,206.2327423095703,17070297,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.9845896533051,0.0,214.82577018701176,211.41736937659115,0.0,-0.7579847568361672,,,,206.2327423095703,,,,
2021-03-18,208.77705251081807,211.41736937659115,202.7763323613338,206.28076171875,17966016,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.7763323613338,0.0,211.41736937659115,209.3051116978804,0.0,-0.7579847568361672,,,,206.23710771040484,,,,
2021-03-19,204.0244781458696,209.3051116978804,199.46393098731488,206.664794921875,26324176,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.46393098731488,0.0,209.3051116978804,209.545143905586,0.0,-0.7579847568361672,,,,206.27598836599304,,,,
2021-03-22,208.1049710952383,209.545143905586,203.73644397381128,204.74456787109372,15774618,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.73644397381128,0.0,209.545143905586,207.38488554366188,0.0,-0.7579847568361672,,,,206.1367683210022,,,,
2021-03-23,205.8007013058371,207.38488554366188,202.7283209109598,204.26451110839844,16778279,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202.7283209109598,0.0,207.38488554366188,203.9284545078076,0.0,-0.7579847568361672,,,,205.9665631198564,,,,
2021-03-24,203.54441430316257,203.9284545078076,193.94326268508885,195.09539794921875,16996355,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.94326268508885,0.0,203.9284545078076,195.76748261508996,0.0,-0.7579847568361672,,,,204.97827537707116,,,,
2021-03-25,195.3834423967469,195.76748261508996,185.8783078159022,187.7985382080078,21311729,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.8783078159022,0.0,195.76748261508996,194.56733266481532,0.0,-0.7579847568361672,,,,203.41648108897448,,,,
2021-03-26,190.77488068652303,194.56733266481532,188.75864762664105,190.05479431152344,14934595,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.75864762664105,0.0,194.56733266481532,192.98315820425887,0.0,-0.7579847568361672,,,,202.20178229102436,,,,
2021-03-30,192.98315820425887,192.98315820425887,185.39825386625927,188.2305908203125,10655953,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.39825386625927,0.0,192.98315820425887,193.12715778961947,0.0,-0.7579847568361672,196.30969772453133,,,200.9316739755051,,,,
2021-03-31,188.1825705957777,193.12715778961947,185.49424522865615,188.66262817382807,13580819,0.0,0,214.82577018701176,182.51791076357787,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.49424522865615,0.0,193.12715778961947,197.3036678431804,0.0,-0.7579847568361672,194.78028381439069,,,199.81630617535265,,,,
