,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SwingHigh,SwingLow,Trend,AdjSwingHigh,AdjSwingLow,level_0,level_38,level_50,level_61,level_78,level_100,level_127,level_161,level_261,val,diff,FibonacciLevels
0,2021-03-17,117.5847338173342,117.92188919974762,113.79167788774276,114.38170623779295,8175296,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.79167788774276,0.0,117.92188919974762
1,2021-03-18,115.43532877227388,116.99470129910024,109.87218799073052,111.26296997070312,14668468,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.87218799073052,0.0,116.99470129910024
2,2021-03-19,110.36569003827177,111.84620676158742,107.18033608343256,110.8143310546875,26315676,8.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.18033608343256,0.0,111.84620676158742
3,2021-03-22,110.81433018311678,111.66674536931484,108.61599195825735,108.9748992919922,5071374,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.61599195825735,0.0,111.66674536931484
4,2021-03-23,109.01976680622472,110.0965025055296,105.87927969658038,108.21221160888672,11934744,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.87927969658038,0.0,110.0965025055296
5,2021-03-24,107.1803520014662,108.48141524973218,104.53337234978106,104.84741973876952,8767220,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.53337234978106,0.0,108.48141524973218
6,2021-03-25,104.48848865906642,105.07172334214984,101.12368107864498,101.93123626708984,8488100,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.12368107864498,0.0,105.07172334214984
7,2021-03-26,102.29014543337291,104.66794404285372,102.06582493900147,102.78365325927734,9417088,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.06582493900147,0.0,104.66794404285372
8,2021-03-30,104.44363164524611,104.44363164524611,98.88047884613243,99.6880340576172,12662101,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.88047884613243,0.0,104.44363164524611
9,2021-03-31,100.04695689442394,103.05285064273586,99.77776951875212,102.06584167480467,6736768,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.77776951875212,0.0,103.05285064273586
10,2021-04-01,102.82852441644208,103.00798493885702,101.79664866114275,102.6490707397461,4394808,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.79664866114275,0.0,103.00798493885702
11,2021-04-05,102.2901470114884,102.6041943393098,98.43183171048702,100.0020751953125,10498788,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.43183171048702,0.0,102.6041943393098
12,2021-04-06,100.36098965619291,103.86039080181234,99.6431681684494,102.60419464111328,10028307,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.6431681684494,0.0,103.86039080181234
13,2021-04-07,102.5593470803799,105.11659970401789,102.29015971127308,104.57823181152344,6608224,0.0,0,117.92188919974762,98.43183171048702,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.29015971127308,0.0,105.11659970401789
14,2021-04-08,104.80254586093004,106.73169678601327,102.96311492571262,103.32202911376952,8471455,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,102.96311492571262,24.514828495409148,106.73169678601327
15,2021-04-09,103.36688672143288,104.80254344050388,101.57232266831274,102.20042419433594,5422387,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,101.57232266831274,24.514828495409148,104.80254344050388
16,2021-04-12,100.4955903192124,100.4955903192124,93.40706070433848,93.99029541015624,12912590,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,93.40706070433848,24.514828495409148,100.4955903192124
17,2021-04-13,95.4708112840401,98.97021264066596,94.2594818882862,98.65615844726562,6332151,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,94.2594818882862,24.514828495409148,98.97021264066596
18,2021-04-15,96.9064632719055,100.13667734515856,96.9064632719055,98.20751953125,6390488,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,96.9064632719055,24.514828495409148,100.13667734515856
19,2021-04-16,98.11779892463328,98.7010336745815,97.35511048810991,97.89347839355467,3028316,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,97.35511048810991,24.514828495409148,98.7010336745815
20,2021-04-19,95.02216488398474,95.47080588263836,93.6762418880238,94.30433654785156,3154591,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,93.6762418880238,24.514828495409148,95.47080588263836
21,2021-04-20,95.5605451529312,97.17565569662058,93.99030145323516,94.7081298828125,2592866,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,93.99030145323516,24.514828495409148,97.17565569662058
22,2021-04-22,93.85569953450212,95.91945095422729,93.85569953450212,95.47080993652344,2726234,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,93.85569953450212,24.514828495409148,95.91945095422729
23,2021-04-23,95.06703194188152,97.44483078060952,94.842711425883,95.82972717285156,3315877,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,94.842711425883,24.514828495409148,97.44483078060952
24,2021-04-26,96.18863019829836,96.90645855551551,95.65026235324476,95.9643096923828,3002608,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,95.65026235324476,24.514828495409148,96.90645855551551
25,2021-04-27,96.41295364717116,97.66914988778667,95.02217057547296,97.3551025390625,6809612,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,95.02217057547296,24.514828495409148,97.66914988778667
26,2021-04-28,98.20751823707069,98.20751823707069,96.59241464458744,96.8615951538086,4146451,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,96.59241464458744,24.514828495409148,98.20751823707069
27,2021-04-29,98.07292599256054,99.19452850004308,95.91944780905038,96.14376831054688,5466744,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,95.91944780905038,24.514828495409148,99.19452850004308
28,2021-04-30,95.1567618327684,99.2842577935126,94.79784765233008,97.26537322998048,6948975,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,94.79784765233008,24.514828495409148,99.2842577935126
29,2021-05-03,96.90645855551551,97.13077906143108,95.20162134141368,95.9643096923828,4550685,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,95.20162134141368,24.514828495409148,97.13077906143108
30,2021-05-04,96.23349715299032,100.2712662643046,95.96430980728192,96.7270050048828,12461870,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,95.96430980728192,24.514828495409148,100.2712662643046
31,2021-05-05,97.4896906043023,98.70101993435296,97.13077643539734,97.9383316040039,4899083,0.0,0,106.73169678601327,93.40706070433848,-1,117.92188919974762,93.40706070433848,117.92188919974762,108.55722471450133,105.66447495204305,102.77172518958477,98.65323400235604,93.40706070433848,86.788057010578,78.25689669417562,53.742068198766475,97.13077643539734,24.514828495409148,98.70101993435296
